lat,lon,event_strenght
37.0588,-68.6269,175.1
35.765,-72.8419,31.3
35.731,-72.9569,-36.5
35.72,-71.5627,57.3
35.6156,-72.6034,165.9
36.0942,-70.7562,231.4
35.0621,-72.1333,-44.7
35.0438,-71.9634,-49.6
36.2307,-69.6466,81.4
36.2223,-69.8406,-43.6
36.1264,-69.7451,-43.6
36.0927,-72.3301,99.6
36.0534,-71.4558,151.4
35.6044,-71.6852,60.8
36.1731,-69.3657,101.5
35.9858,-69.8285,97.9
35.8727,-69.8414,89.9
35.991,-68.9718,45.2
35.9548,-68.9438,58.0
35.0774,-69.8878,-59.1
35.0177,-72.6198,92.7
35.0129,-71.7415,-120.8
42.8196,-83.3715,-70.7
36.4045,-70.4037,108.1
35.7965,-71.3781,-78.7
35.7653,-71.4826,-29.9
35.0061,-71.1623,-89.1
35.226,-69.2534,79.7
35.1052,-71.1051,-49.9
35.0188,-69.6829,53.4
36.099,-69.9764,195.0
35.4101,-69.4087,118.4
47.5845,-122.1677,104.3
44.4247,-123.9427,46.9
45.5181,-122.3955,26.5
49.1963,-123.4353,76.4
47.4283,-106.6479,-30.4
47.3653,-106.4961,-29.4
48.0093,-104.3396,-28.1
47.8894,-104.2056,-15.9
43.0172,-124.7459,56.6
42.9929,-124.7239,71.3
42.8657,-124.6593,96.2
40.1619,-107.8688,-24.3
46.0477,-127.6273,171.8
44.3074,-126.3659,167.6
44.9029,-125.2273,100.7
44.6925,-125.085,80.4
44.6802,-125.047,97.8
44.1741,-124.9722,94.9
46.125,-125.468,192.8
46.0714,-125.3487,57.4
43.7499,-125.1451,65.8
43.587,-125.1447,75.6
43.4287,-125.122,32.7
43.0562,-125.4031,162.7
44.2475,-124.3499,65.1
44.0453,-124.7585,204.7
44.0248,-124.2443,-12.4
43.9631,-124.8475,27.6
43.8995,-124.7413,24.6
43.8915,-124.7485,-19.0
43.8864,-124.7319,-24.1
43.8008,-124.671,107.7
43.7605,-124.8184,105.4
43.7577,-125.1857,22.4
43.482,-125.0262,62.2
43.6795,-124.6778,51.8
43.1759,-124.6619,89.6
42.9351,-124.6648,21.0
42.8935,-124.6788,26.2
42.8854,-124.6953,64.5
42.8562,-124.8173,70.4
42.7737,-124.7489,97.7
42.7905,-124.3914,-23.7
42.7636,-124.6101,33.9
42.753,-124.3132,121.8
42.6925,-124.6007,33.3
42.69,-124.3995,55.1
42.5641,-124.4507,-53.6
42.551,-124.4921,-40.2
42.5411,-124.5105,44.0
42.5252,-124.5263,48.2
42.5144,-124.328,124.5
42.5044,-124.5218,106.8
42.4756,-124.6565,-24.0
42.4671,-124.5414,24.7
42.4522,-124.5081,119.7
42.4357,-124.6029,62.9
42.4306,-124.5226,140.0
42.4266,-124.5468,32.9
42.3849,-124.7476,102.4
42.3569,-124.6107,98.4
42.3105,-124.6921,56.8
42.3048,-124.6723,38.6
42.2612,-124.7535,75.4
42.2525,-124.7096,102.9
41.2564,-124.5654,40.4
41.1828,-124.4642,70.1
41.1545,-124.6835,45.7
42.8038,-124.4661,44.6
42.5191,-124.4355,56.7
42.4928,-124.4387,78.3
42.1546,-124.6523,84.5
42.1459,-124.6765,82.0
42.1372,-124.6681,74.3
42.0702,-124.5467,28.5
42.0286,-124.6375,54.0
41.9266,-124.7749,78.0
41.3549,-124.3993,35.9
41.2725,-124.4297,23.6
41.0919,-124.5522,49.2
40.8902,-124.7272,30.0
40.6316,-124.861,23.2
43.5903,-124.1725,50.9
41.7815,-124.3211,29.0
41.747,-124.2942,138.4
41.562,-124.3559,51.2
41.4316,-124.3092,63.3
41.4073,-124.297,16.7
41.3584,-124.4019,55.2
41.3113,-124.4991,94.3
41.2176,-124.667,80.8
41.0115,-124.4476,27.8
40.9911,-124.5158,62.7
40.9482,-124.3497,29.2
40.7124,-124.541,43.2
40.4875,-124.3067,194.7
40.0145,-124.5412,140.1
41.2726,-88.9989,61.2
40.3928,-123.9305,109.1
40.2446,-124.2349,83.8
40.2361,-124.3627,33.3
40.2226,-124.2278,62.2
38.8574,-90.3691,-19.4
42.8552,-81.5061,-36.1
40.0215,-124.0125,30.1
35.9067,-97.5386,-19.8
41.529,-88.3898,-18.5
41.5133,-88.1925,-11.9
41.4206,-88.0625,27.8
41.3827,-88.1753,-22.3
41.3817,-88.4022,-8.4
41.3615,-88.273,-31.5
41.3595,-88.2697,-31.8
41.3589,-88.3002,-27.6
41.3542,-88.2403,-115.8
41.351,-88.2354,-63.3
41.3307,-88.5108,-13.7
41.3074,-88.1593,-142.3
41.2586,-122.3462,-22.2
40.8041,-91.6254,-98.2
40.7935,-91.5691,-31.8
40.7323,-91.9736,-16.2
40.7279,-91.9583,-24.9
40.7151,-92.0058,-40.9
40.6585,-92.9743,-8.9
40.5722,-130.7554,-285.1
40.1596,-123.8372,33.3
36.1691,-97.296,-19.1
